,Country,Region,Pop. Density,Infant mortality,GDP
187,Solomon Islands ,OCEANIA                            ,19.4,21.29,1700
188,Somalia ,SUB-SAHARAN AFRICA                 ,13.9,116.7,500
189,South Africa ,SUB-SAHARAN AFRICA                 ,36.2,61.81,10700
190,Spain ,WESTERN EUROPE                     ,80.0,4.42,22000
191,Sri Lanka ,ASIA (EX. NEAR EAST)         ,308.2,14.35,3700
192,Sudan ,SUB-SAHARAN AFRICA                 ,16.5,62.5,1900
193,Suriname ,LATIN AMER. & CARIB    ,2.7,23.57,400000
194,Swaziland ,SUB-SAHARAN AFRICA                 ,65.5,69.27,4900
195,Sweden ,WESTERN EUROPE                     ,20.0,2.77,26800
196,Switzerland ,WESTERN EUROPE                     ,182.2,4.39,32700
197,Syria ,NEAR EAST                          ,102.0,29.53,3300
198,Taiwan ,ASIA (EX. NEAR EAST)         ,640.3,6.4,23400
199,Tajikistan ,C.W. OF IND. STATES ,51.2,110.76,1000
200,Tanzania ,SUB-SAHARAN AFRICA                 ,39.6,98.54,600
201,Thailand ,ASIA (EX. NEAR EAST)         ,125.7,20.48,7400
202,Togo ,SUB-SAHARAN AFRICA                 ,97.7,66.61,1500
203,Tonga ,OCEANIA                            ,153.3,12.62,2200
204,Trinidad & Tobago ,LATIN AMER. & CARIB    ,207.9,24.31,9500
205,Tunisia ,NORTHERN AFRICA                    ,62.2,24.77,6900
206,Turkey ,NEAR EAST                          ,90.2,41.04,6700
207,Turkmenistan ,C.W. OF IND. STATES ,10.3,73.08,5800
208,Turks & Caicos Is ,LATIN AMER. & CARIB    ,49.2,15.67,9600
209,Tuvalu ,OCEANIA                            ,454.2,20.03,1100
210,Uganda ,SUB-SAHARAN AFRICA                 ,119.5,67.83,1400
211,Ukraine ,C.W. OF IND. STATES ,77.4,20.34,5400
212,United Arab Emirates ,NEAR EAST                          ,31.4,14.51,23200
213,United Kingdom ,WESTERN EUROPE                     ,247.6,5.16,27700
214,United States ,NORTHERN AMERICA                   ,31.0,6.5,37800
215,Uruguay ,LATIN AMER. & CARIB    ,19.5,11.95,12800
216,Uzbekistan ,C.W. OF IND. STATES ,61.0,71.1,1700
217,Vanuatu ,OCEANIA                            ,17.1,55.16,2900
218,Venezuela ,LATIN AMER. & CARIB    ,28.2,22.2,4800
219,Vietnam ,ASIA (EX. NEAR EAST)         ,256.1,25.95,2500
220,Virgin Islands ,LATIN AMER. & CARIB    ,56.9,8.03,17200
222,West Bank ,NEAR EAST                          ,419.9,19.62,800
224,Yemen ,NEAR EAST                          ,40.6,61.5,800
225,Zambia ,SUB-SAHARAN AFRICA                 ,15.3,88.29,800
226,Zimbabwe ,SUB-SAHARAN AFRICA                 ,31.3,67.69,1900
